Player,Runs,is_century,is_duck,missed_century,ScoreRate,No. of Matches
Aamer Hanif,89.0,0,0,0,70.295,4
Aamer Malik,556.0,0,1,0,50.136956521739116,23
Aamir Nazir,13.0,0,0,0,85.41666666666667,3
Aamir Sohail,4780.0,5,10,3,57.79670967741933,156
Aaqib Javed,267.0,0,11,0,64.44254901960784,51
Aaron J Redmond,152.0,0,0,0,61.6,6
Aashish R Kapoor,43.0,0,3,0,42.050000000000004,6
Aasif Y Karim,228.0,0,7,0,46.232499999999995,24
Aavishkar M Salvi,4.0,0,2,0,14.813333333333333,3
Abdool M Samad,738.0,1,2,0,69.25037037037036,27
Abdul Jabbar,59.0,0,0,0,67.305,2
Abdul Qadir,641.0,0,10,0,68.64926470588236,68
Abdul Razzaq,5063.0,3,16,0,83.66730088495576,227
Abdul Rehman,1.0,0,0,0,7.69,1
Abdullah Mazari,3.0,0,0,0,18.75,1
Abdur F Sattaur,20.0,0,1,0,34.166666666666664,3
Abdur Razzak,646.0,0,11,0,62.05696202531646,79
Abdur Rehman,75.0,0,4,0,53.12642857142857,14
Abdus S Faridi,19.0,0,0,0,57.0,2
Abey Kuruvilla,26.0,0,1,0,58.33181818181819,11
Abhijit V Kale,10.0,0,0,0,45.45,1
Abhimanyu Mithun,28.0,0,0,0,64.67,2
Abhishek M Nayar,0.0,0,1,0,0.0,1
Abraham B de Villiers,4523.0,11,6,2,82.65191304347827,115
Adam C  Voges,392.0,0,0,0,89.34714285714286,14
Adam C Dale,78.0,0,1,0,60.847500000000004,12
Adam C Gilchrist,9619.0,16,19,6,86.78236559139783,279
Adam C Parore,3314.0,1,20,2,63.693540372670796,161
Adam G Huckle,9.0,0,4,0,34.37375,8
Adam J Hollioake,606.0,0,1,0,70.34733333333334,30
Adam M Bacher,270.0,0,0,0,50.5,13
Adeel Raja,28.0,0,5,0,18.046666666666667,12
Adil U Rashid,60.0,0,0,0,113.9875,4
Adnan Akmal,51.0,0,0,0,78.545,2
Adrian Barath,294.0,1,1,0,51.537,10
Adrian D Mascarenhas,245.0,0,2,0,93.72846153846154,13
Adrian F G Griffith,99.0,0,1,0,35.9675,8
Adrian P Grayson,6.0,0,1,0,25.0,2
Adrian P Kuiper,539.0,0,0,0,94.68173913043479,23
Aftab Ahmed,1954.0,0,8,1,77.09341176470586,85
Aftab Alam,6.0,0,0,0,60.0,1
Aftabodeen Shamsuden,3.0,0,0,0,10.71,1
Afzaal Haider,22.0,0,3,0,15.2775,4
Ahmed Kamal,11.0,0,0,0,57.89,1
Ahmed Shah,2.0,0,0,0,20.0,1
Ahmed Shehzad,477.0,2,2,0,56.87684210526315,19
Aijaz Ali,5.0,0,0,0,48.33,2
Ajay K Sharma,424.0,0,2,0,82.73074074074074,27
Ajay Ratra,90.0,0,0,0,66.38499999999999,8
Ajinkya M Rahane,340.0,0,1,1,67.31,10
Ajit B Agarkar,1269.0,0,11,1,76.11256637168141,113
Ajit L Wadekar,73.0,0,0,0,78.35,2
Ajith P Weerakkody,2.0,0,0,0,50.0,1
Ajmal Shahzad,40.0,0,0,0,94.155,8
Akhtar Sarfraz,66.0,0,0,0,65.02250000000001,4
Akram Khan,976.0,0,3,0,50.38363636363638,44
Akram Raza,193.0,0,5,0,70.8512,25
Al Sahariar Rokon,374.0,0,6,0,45.983793103448285,29
Alam Talukdar,7.0,0,0,0,43.75,1
Alan C Dawson,69.0,0,0,0,159.79285714285714,7
Alan C I Lock,8.0,0,0,0,38.483333333333334,3
Alan D Mullally,86.0,0,8,0,36.858000000000004,25
Alan G Hurst,7.0,0,1,0,53.332499999999996,4
Alan P E Knott,200.0,0,2,0,73.85714285714286,14
Alan P Igglesden,20.0,0,1,0,43.64666666666667,3
Alan P Wells,15.0,0,0,0,150.0,1
Alan R Butcher,14.0,0,0,0,53.84,1
Alan Turner,247.0,1,0,0,84.51666666666667,6
Alastair N Cook,1458.0,2,4,1,67.77804878048781,41
Alawi Shukri,1.0,0,0,0,33.33,1
Alaysinhji D Jadeja,5359.0,6,10,3,66.71011173184357,179
Albert van der Merwe,15.0,0,2,0,56.54666666666666,6
Aldesh V Vadher,278.0,0,1,0,50.086875000000006,16
Alec G Davies,83.0,0,1,0,47.959999999999994,5
Alec J Stewart,4677.0,4,14,2,61.39067901234567,162
Alester Maregwede,124.0,0,1,0,47.2590909090909,11
Alex A Obanda,1139.0,0,1,1,72.65405405405404,37
Alex Jeremy Tudor,9.0,0,0,0,108.33,2
Alex R Cusack,652.0,0,5,0,55.86029411764705,34
Alex R Tait,35.0,0,0,0,82.6,5
Alexander G Cremer,316.0,0,1,0,65.83481481481482,27
Alexander G R Loudon,0.0,0,1,0,0.0,1
Alexander G Wharf,19.0,0,1,0,77.0,5
Alexander N French,24.0,0,0,0,30.355,2
Alexei N Kervezee,794.0,0,2,1,62.48941176470588,34
Alfred S Luseno,34.0,0,4,0,44.30222222222222,9
Ali Asad,21.0,0,0,0,50.32,2
Ali H Omarshah,437.0,0,4,0,49.55892857142857,28
Alistair D Brown,354.0,1,2,0,64.613125,16
Alistair D R Campbell,5185.0,7,11,3,56.564728260869565,185
